config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_stress,knn,auc,0.899,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_depth_collapse,logistic,auc,0.5627,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_depth_collapse,knn,auc,0.5906,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_spread_widen,logistic,auc,0.715,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_spread_widen,knn,auc,0.7233,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_vol_spike,logistic,auc,0.7867,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,lab_vol_spike,knn,auc,0.8454,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_fwdvol,ridge,r2,0.2938,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_fwdvol,knn,r2,0.4418,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_curvol,ridge,r2,0.2965,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_curvol,knn,r2,0.4548,2.08,6400,2026-06-03 14:08:19
B|5s|NVDA|nc3|Isomap_nn30,5s,full,19,sym:NVDA,Isomap_nn30,3,reg_relspread,ridge,r2,0.4205,2.08,6400,2026-06-03 14:08:19
